Open,High,Low,Close,Adj Close,Volume
141.899994,142.919998,139.110001,142.649994,142.442108,94639600
141.759995,142.210007,138.270004,139.139999,138.937225,98322000
139.490005,142.240005,139.360001,141.110001,140.904358,80861100
139.470001,142.149994,138.369995,142.000000,141.793060,83221100
143.059998,144.220001,142.720001,143.289993,143.081177,61732700
144.029999,144.179993,142.559998,142.899994,142.691742,58718700
142.270004,144.809998,141.809998,142.809998,142.601883,64452200
143.229996,143.250000,141.039993,141.509995,141.303772,73035900
141.240005,141.399994,139.199997,140.910004,140.704651,78762700
142.110001,143.880005,141.509995,143.759995,143.550491,69907100
143.770004,144.899994,143.509995,144.839996,144.628922,67885200
143.449997,146.839996,143.160004,146.550003,146.336426,85589200
147.009995,149.169998,146.550003,148.759995,148.543198,76378900
148.699997,149.750000,148.119995,149.259995,149.042480,58418800
148.809998,149.639999,147.869995,149.479996,149.262146,61421000
149.690002,150.179993,148.639999,148.690002,148.473312,58883400
148.679993,149.369995,147.619995,148.639999,148.423386,50720600
149.330002,150.839996,149.009995,149.320007,149.102402,60893400
149.360001,149.729996,148.490005,148.850006,148.633087,56094900
149.820007,153.169998,149.720001,152.570007,152.347656,100077900
147.220001,149.940002,146.410004,149.800003,149.581696,124850400